序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2370,301060,兰卫医学,9.5,-1.55,-0.15,39929.0,38214848.0,2.28,9.69,9.47,9.66,9.65,0.75,1.11,-4273.63,2.41,3804911500.0,3421753292.0,-0.11,0.21,2.93,6.62
2371,300440,运达科技,12.04,-1.55,-0.19,69588.0,83932810.0,2.86,12.23,11.88,12.23,12.23,0.73,1.59,99.05,3.25,5291779864.0,5271371643.0,-0.08,-0.08,-8.72,53.18
2372,300849,锦盛新材,15.86,-1.55,-0.25,22706.0,36143344.44,3.29,16.25,15.72,16.25,16.11,0.88,1.87,-188.37,4.04,2379000000.0,1926482845.0,-0.25,-0.25,18.18,12.88
2373,301439,泓淋电力,15.18,-1.56,-0.24,42633.0,65073317.57,1.95,15.42,15.12,15.39,15.42,1.22,2.33,31.03,1.99,5906565461.0,2781688306.0,-0.07,0.0,-5.71,12.03
2374,300242,佳云科技,5.05,-1.56,-0.08,176472.0,89748681.0,2.14,5.14,5.03,5.09,5.13,0.75,2.78,-81.18,12.13,3204503881.0,3204502134.0,0.0,0.0,19.1,24.08
2375,301359,东南电子,18.99,-1.56,-0.3,12530.0,23998766.0,2.02,19.37,18.98,19.32,19.29,1.02,1.83,57.77,2.71,2282142240.0,1298853029.0,-0.11,-0.11,-8.96,21.5
2376,300868,杰美特,29.6,-1.56,-0.47,16229.0,48017060.16,2.79,30.2,29.36,30.2,30.07,0.65,2.01,-113.07,2.51,3787379200.0,2388416630.0,-0.17,-0.03,-3.74,9.47
2377,300596,利安隆,42.86,-1.56,-0.68,62279.0,267556272.26,2.85,43.74,42.5,43.42,43.54,1.2,2.79,18.82,2.06,9841498928.0,9559699742.0,0.02,-0.02,18.01,42.25
2378,002869,金溢科技,23.77,-1.57,-0.38,47915.0,114330684.66,3.19,24.3,23.53,24.0,24.15,0.65,3.04,-106.51,1.96,4205269336.0,3744208898.0,0.0,0.04,-22.62,-10.0
2379,002040,南 京 港,10.05,-1.57,-0.16,133028.0,134178182.27,2.64,10.3,10.03,10.11,10.21,0.99,2.74,26.13,1.45,4903867199.0,4885058222.0,0.0,0.0,-10.59,54.62
